,0
"frozenset({'PTRATIO', 'AGE', 'CRIM'})",0.004950303030303033
"frozenset({'PTRATIO', 'CHAS', 'CRIM'})",0.007284793388429745
"frozenset({'NOX', 'PTRATIO', 'CRIM'})",0.013421432506887048
"frozenset({'RAD', 'PTRATIO', 'CRIM'})",0.008426942148760334
"frozenset({'PTRATIO', 'CRIM'})",0.019945674931129472
"frozenset({'TAX', 'INDUS', 'PTRATIO'})",0.007049476584022035
"frozenset({'TAX', 'PTRATIO', 'AGE'})",0.01312881542699725
"frozenset({'TAX', 'PTRATIO', 'CHAS'})",0.007058236914600556
"frozenset({'TAX', 'NOX', 'PTRATIO'})",0.0
"frozenset({'RAD', 'PTRATIO', 'TAX'})",0.005876639118457294
"frozenset({'TAX', 'PTRATIO'})",0.002018071625344353
"frozenset({'PTRATIO', 'INDUS', 'AGE'})",0.005918622589531682
"frozenset({'INDUS', 'CHAS', 'PTRATIO'})",0.002970523415977956
"frozenset({'NOX', 'INDUS', 'PTRATIO'})",0.003960220385674931
"frozenset({'RAD', 'INDUS', 'PTRATIO'})",0.002140495867768594
"frozenset({'INDUS', 'PTRATIO'})",0.006238787878787869
"frozenset({'PTRATIO', 'CHAS', 'AGE'})",0.007850137741046828
"frozenset({'NOX', 'PTRATIO', 'AGE'})",0.005621432506887058
"frozenset({'RAD', 'PTRATIO', 'AGE'})",0.010174655647382912
"frozenset({'PTRATIO', 'AGE'})",0.022318347107438016
"frozenset({'NOX', 'PTRATIO', 'CHAS'})",0.01229096418732782
"frozenset({'RAD', 'PTRATIO', 'CHAS'})",0.005464628099173547
"frozenset({'PTRATIO', 'CHAS'})",0.010463581267217605
"frozenset({'RAD', 'NOX', 'PTRATIO'})",0.006709972451790635
"frozenset({'NOX', 'PTRATIO'})",0.013762589531680441
"frozenset({'RAD', 'PTRATIO'})",0.003654876033057844
frozenset({'PTRATIO'}),0.043693553719008175
"frozenset({'B', 'DIS', 'LSTAT'})",0.031221597796143266
"frozenset({'B', 'DIS', 'CRIM'})",0.01393019283746556
"frozenset({'TAX', 'DIS', 'B'})",0.004762424242424243
"frozenset({'B', 'DIS', 'INDUS'})",0.0
"frozenset({'B', 'DIS', 'AGE'})",0.008668870523415986
"frozenset({'B', 'DIS', 'CHAS'})",0.010775922865013766
"frozenset({'DIS', 'B', 'NOX'})",0.009780550964187328
"frozenset({'RAD', 'DIS', 'B'})",0.012816198347107437
