,frozenset({'RM'}),frozenset({'LSTAT'}),frozenset({'NOX'}),"frozenset({'RM', 'AGE'})","frozenset({'NOX', 'LSTAT'})","frozenset({'RM', 'CHAS', 'LSTAT'})","frozenset({'ZN', 'LSTAT'})","frozenset({'INDUS', 'RM'})","frozenset({'RM', 'LSTAT'})","frozenset({'RAD', 'LSTAT'})"
228,2.732659999999998,0.30096666666666605,-0.0265200000000002,0.644733333333333,0.1085799999999999,0.4974733333333331,0.08459333333333344,0.5487066666666663,0.4095599999999997,0.06341333333333324
240,0.6788866666666659,0.14473333333333338,0.1514533333333331,0.1658466666666667,0.0678400000000001,0.05693333333333346,0.011653333333333389,0.17458666666666642,0.08615999999999994,0.03425333333333344
251,-0.25573999999999936,0.49009333333333427,0.000580000000000697,-0.09233999999999991,0.1946066666666668,0.23340666666666668,0.18225333333333343,0.020133333333333437,0.14612666666666668,0.10123333333333347
252,0.7447066666666655,0.45039999999999897,0.23851999999999965,0.1579733333333334,0.2980133333333333,0.13330666666666668,0.17743999999999985,0.10700666666666664,0.2437999999999999,0.12773999999999983
254,-0.2903466666666663,0.216133333333333,0.05152666666666658,-0.03130666666666657,0.15778,0.040400000000000054,0.08182666666666659,-0.01115333333333324,-0.027406666666666694,0.07673999999999997
258,1.5781200000000002,0.06012666666666656,0.306246666666667,0.33726000000000006,0.053200000000000025,0.16247333333333328,0.08185999999999993,0.38649333333333324,0.2142733333333333,0.06385333333333335
263,1.2273733333333334,0.02700666666666688,0.2684200000000002,0.31676,0.02998666666666667,0.17084666666666662,0.03777333333333333,0.3054199999999999,0.25662666666666667,0.03161333333333339
265,-0.5396466666666669,0.009099999999999811,0.00635999999999972,-0.14677333333333342,-0.051153333333333405,-0.1150266666666667,0.07917333333333315,-0.1872266666666667,-0.2102133333333334,0.06575999999999997
270,-0.6463733333333338,-0.06913333333333348,-0.01903999999999987,-0.036913333333333506,0.01116000000000002,0.05314666666666669,-0.012053333333333426,-0.17807333333333328,-0.11942666666666668,0.08030666666666661
271,-0.16150666666666674,0.40038000000000024,0.05323333333333333,0.03270666666666667,0.1403866666666668,0.01682666666666659,0.16042666666666677,-0.0074533333333334124,-0.03782000000000005,0.1386666666666668
273,2.6648133333333313,0.2215200000000001,0.021080000000000643,0.6609866666666666,0.06334666666666662,0.49085999999999996,0.1108133333333333,0.624913333333333,0.29715333333333327,0.060480000000000055
275,0.5730666666666687,0.6432333333333349,0.1706533333333341,0.14836000000000027,0.21796000000000026,0.12995333333333348,0.1777000000000003,0.03723333333333343,0.10720666666666702,0.24401333333333378
276,1.2100000000000004,0.27226000000000034,0.23383333333333312,0.32357333333333343,0.09086000000000016,0.2731,0.05182666666666672,0.2787333333333332,0.07748000000000001,0.06826666666666675
277,0.3472266666666663,0.6252333333333331,0.12030666666666615,-0.10253333333333352,0.19001333333333334,0.20281999999999992,0.21445999999999998,0.04860666666666655,0.11600666666666658,0.17726
279,0.17924666666666672,0.4554666666666664,0.07098666666666652,0.051046666666666574,0.2445066666666666,0.17799999999999996,0.08341333333333335,0.0865466666666667,0.09269999999999994,0.14489333333333324
281,1.0322399999999998,0.39607999999999965,0.3333466666666677,0.1980333333333333,0.13962,0.1746666666666667,0.1175266666666666,0.13016666666666676,0.25186666666666657,0.09055333333333336
286,-0.20759333333333327,0.1258000000000005,-0.011453333333333274,0.053426666666666664,0.09742666666666677,0.09733333333333352,0.06805999999999997,0.010060000000000067,-0.00881333333333328,0.03551333333333351
292,0.2532799999999977,0.49010666666666586,0.042806666666666125,0.0961866666666665,0.1296933333333333,0.2958866666666666,0.11927999999999983,0.00925333333333306,0.16866666666666646,0.06893333333333324
297,-0.49866000000000044,-0.024726666666666664,0.058926666666666835,-0.11368666666666671,-0.02609333333333327,-0.08958000000000008,-0.008920000000000018,-0.16532000000000016,-0.02715333333333336,-0.004980000000000005
298,-0.3400999999999995,0.1720666666666669,0.006826666666667052,-0.07114666666666662,0.11499333333333318,0.20746000000000003,0.0732933333333334,-0.08644666666666649,0.07617333333333327,0.09734666666666673
299,1.4627933333333325,0.38424000000000025,0.29817333333333496,0.1519666666666669,0.25636666666666663,0.2676133333333333,0.08390000000000006,0.28451333333333334,0.20221999999999996,0.10487999999999997
300,0.7284266666666668,0.2606733333333333,0.1625533333333338,0.19501333333333334,0.2277933333333332,0.10780000000000006,0.10277333333333333,0.08948666666666678,0.1341466666666666,0.06625999999999989
301,-0.006586666666667872,0.22195999999999935,0.021973333333332335,0.011659999999999933,0.14449333333333328,0.19479999999999986,0.07053333333333311,-0.02365333333333348,-0.0979000000000002,0.13004666666666648
310,-0.5021666666666678,-0.09484666666666755,0.01944666666666688,-0.015640000000000088,0.05330666666666661,-0.07406,0.0217599999999997,-0.03497333333333344,0.024159999999999897,-0.01005333333333344
